Config_Indice;Config_Nome;Config_ProjNome;Config_NomeObjeto;Config_TipoObjeto;Config_EstruturaObjeto;Config_Descricao;Config_UnEng;Config_VarTag_Nome;Config_VarTag_Fonte;Config_Acesso;Operacao_Filtrar;Operacao_Validar;Operacao_LimiteInferior;Operacao_LimiteSuperior;Operacao_BandaMorta;Operacao_VariacaoMax;Operacao_WatchDog;Operacao_ValorBruto_Valor;Operacao_ValorBruto_Status;Operacao_ValorBruto_Amostragem;Operacao_Falha;Operacao_Qualidade;Operacao_Pv;Operacao_FilPv;Config_Constante;Operacao_PVAmostragem;Operacao_FilTempo;Operacao_TempoCongel;Operacao_ValorConsolidado_Valor
651;GER_CPMLIGA;CPM_UN-SEAL;Geral;CPM_GERAL01;CPM_GERAL01;Flag para a ativação da escrita de SP;;UPGNAT2.CPM_OUT.F_CV;Intellution_DA;1;0;0;-1;2;0;2;0;1;192;09/12/2011 09:36;0;0;1;0;0;09/12/2011 09:36;0;0;1
652;GER_CPMSAI;CPM_UN-SEAL;Geral;CPM_GERAL01;CPM_GERAL01;Flag de verificação da integridade da comu.;;UPGNAT2.CPM_SAI.F_CV;Intellution_DA;3;0;0;0;1;0;0;0;0;192;;0;0;0;0;0;00:00:00 01/01/1601;0;0;0
653;GER_FUNOBJ;CPM_UN-SEAL;Geral;CPM_GERAL01;CPM_GERAL01;Valor calculado da função objetivo;;;;1;0;0;0;0;0;0;0;1452.863647;192;09/12/2011 14:43;0;0;1844.720947;1844.720947;0;09/12/2011 14:42;0;0;1452.863647
654;GER_CPMLGENT;CPM_UN-SEAL;Geral;CPM_GERAL01;CPM_GERAL01;;;UPGNAT2.CPM_IN.F_CV;Intellution_DA;0;0;1;0;2;0;2;0;1;192;09/12/2011 09:33;0;0;1;0;0;09/12/2011 09:33;0;0;1
850;CON_RATCONLP;CPM_UN-SEAL;C5_GLP;CPM_CON01;CPM_CONTROLADA01;Teor de Pentanos no GLP (C5);;UPGNAT2.CPM_FLAG_T04_C5S.F_CV;Intellution_DA;1;0;0;0;10;0;0;0;0;0;04/11/2011 12:20;0;1;0;0;0;00:00:00 01/01/1601;0;0;0
851;CON_SERVDEP;CPM_UN-SEAL;C5_GLP;CPM_CON01;CPM_CONTROLADA01;Teor de Pentanos no GLP (C5);;;Intellution_DA;0;0;1;0;1;0;2;0;0;192;31/10/2011 14:47;0;0;0;0;1;00:00:00 01/01/1601;0;0;0
852;CON_ERROPRED;CPM_UN-SEAL;C5_GLP;CPM_CON01;CPM_CONTROLADA01;;;;;1;0;0;0;0;0;0;0;0;0;04/11/2011 12:20;0;1;0;0;0;00:00:00 01/01/1601;0;0;0
853;CON_ERPRMED;CPM_UN-SEAL;C5_GLP;CPM_CON01;CPM_CONTROLADA01;;;;;1;0;0;0;0;0;0;0;0;0;04/11/2011 12:20;0;1;0;0;0;00:00:00 01/01/1601;0;0;0
854;CON_DESBAL;CPM_UN-SEAL;C5_GLP;CPM_CON01;CPM_CONTROLADA01;;;;;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;00:00:00 01/01/1601;0;0;0
855;CON_TGCONLP;CPM_UN-SEAL;C5_GLP;CPM_CON01;CPM_CONTROLADA01;Teor de Pentanos no GLP (C5);;;Intellution_DA;1;0;0;0.18;5.43;0;0;0;-3.488887;0;09/12/2011 14:43;0;1;-3.746561;-3.746561;1;09/12/2011 14:42;0;0;-3.488887
